label,area,perimeter,solidity,corners,area_size,size_normalized,corners_normalized,width,height,perfect_area,width_to_height_ratio,area_normalized
4,462.49,26.14,0.8708950009528044,106.0,40.0,17.138125,0.6625,4.77,2.19,1600.0,2.1769230769230767,0.28905625
5,19.87,4.95,0.6551724137931034,17.0,40.0,0.73625,0.10625,1.18,0.56,1600.0,2.121212121212121,0.012418750000000001
6,2660.51,45.69,0.8555359099241775,174.0,40.0,98.58875,1.0875,10.71,5.72,1600.0,1.873156342182891,1.6628187500000002
7,1375.07,23.15,0.9349755728342393,74.0,40.0,50.955,0.4625,5.5,5.06,1600.0,1.0866666666666667,0.85941875
8,40.85,4.92,0.7528753497046938,25.0,40.0,1.51375,0.15625,1.23,1.16,1600.0,1.0579710144927537,0.025531250000000002
9,1040.38,20.81,0.9280674038967878,80.0,40.0,38.5525,0.5,5.95,3.81,1600.0,1.5619469026548674,0.6502375
10,1245.23,22.24,0.9327858496525584,73.0,40.0,46.14375,0.45625,4.89,4.76,1600.0,1.0283687943262412,0.7782687500000001
11,1467.6,24.56,0.9252969512649007,75.0,40.0,54.38375,0.46875,5.68,5.04,1600.0,1.1270903010033444,0.9172499999999999
12,1102.93,20.9,0.917641941006427,75.0,40.0,40.870625,0.46875,4.32,4.92,1600.0,0.8767123287671232,0.6893312500000001
13,1469.81,22.91,0.9531231201671205,64.0,40.0,54.465625,0.4,5.65,5.04,1600.0,1.120401337792642,0.91863125
14,331.37,12.11,0.9088680205393903,47.0,40.0,12.279375,0.29375,3.2,3.14,1600.0,1.021505376344086,0.20710625
15,1768.68,28.34,0.9228880459749883,93.0,40.0,65.540625,0.58125,7.17,5.28,1600.0,1.3578274760383386,1.105425
16,1348.2,23.55,0.9316107828397608,81.0,40.0,49.959375,0.50625,5.03,5.23,1600.0,0.9612903225806452,0.8426250000000001
17,234.34,12.27,0.7374734607218684,51.0,40.0,8.68375,0.31875,2.73,3.27,1600.0,0.8350515463917526,0.1464625
18,2162.67,40.34,0.7767069684047296,158.0,40.0,80.140625,0.9875,5.4,11.74,1600.0,0.45977011494252873,1.35166875
19,1636.28,25.74,0.902439931908877,113.0,40.0,60.634375,0.70625,6.65,5.36,1600.0,1.2389937106918238,1.022675
20,78.01,5.72,0.8841521697572166,19.0,40.0,2.890625,0.11875,1.48,1.43,1600.0,1.035294117647059,0.04875625
21,1742.57,27.41,0.9427507733299267,105.0,40.0,64.573125,0.65625,6.41,5.79,1600.0,1.1078717201166182,1.08910625
22,1156.99,22.3,0.9332299404130275,91.0,40.0,42.87375,0.56875,4.77,5.06,1600.0,0.9433333333333334,0.72311875
23,1342.99,22.75,0.9514512062517176,82.0,40.0,49.76625,0.5125,5.57,5.11,1600.0,1.0891089108910892,0.83936875
1,648.07,18.63,0.9147264676474789,89.0,40.0,24.015,0.55625,6.46,3.1,1600.0,2.0815217391304346,0.40504375000000004
2,1234.88,49.27,0.8954771165088916,199.0,40.0,45.76,1.24375,7.64,4.69,1600.0,1.629496402877698,0.7718
3,256.42,13.72,0.8485711096226837,31.0,40.0,9.501875,0.19375,4.5,1.2,1600.0,3.76056338028169,0.1602625
4,2689.67,34.09,0.943302810902896,117.0,40.0,99.669375,0.73125,11.25,5.11,1600.0,2.201320132013201,1.68104375
5,1274.7,22.89,0.9426269378998965,86.0,40.0,47.235625,0.5375,7.03,4.35,1600.0,1.6162790697674418,0.7966875
