,label,area,perimeter,solidity,corners,area_size,size_normalized,corners_normalized,width,height,perfect_area,width_to_height_ratio,area_normalized,category
29,30,814.89,135.44,0.9044873354924462,51,30,53.68333333333333,0.425,33.25,30.65,900,1.0847457627118644,0.9054333333333332,2
0,1,658.63,150.97,0.8674308054555956,80,40,24.40625,0.5,49.87,19.22,1600,2.5945945945945947,0.41164375,1
1,2,1504.52,193.39,0.903889023994812,84,40,55.751875,0.525,42.21,42.6,1600,0.9908536585365854,0.940325,2
2,3,1446.13,187.05,0.9479800101718152,110,40,53.588125,0.6875,46.88,39.09,1600,1.1993355481727574,0.90383125,2
3,4,1319.53,187.02,0.93711445169791,89,40,48.896875,0.55625,42.08,41.43,1600,1.0156739811912223,0.82470625,2
4,5,913.79,146.96,0.9229655372140168,64,40,33.861875,0.4,44.94,26.62,1600,1.6878048780487804,0.57111875,1
5,6,1438.47,181.12,0.9353080516745992,66,40,53.304375,0.4125,42.34,39.74,1600,1.065359477124183,0.89904375,2
6,7,1547.66,182.51,0.9376475276662272,78,40,57.350625,0.4875,43.77,40.91,1600,1.0698412698412698,0.9672875,2
7,8,1359.72,178.37,0.949933425241849,85,40,50.38625,0.53125,37.27,47.53,1600,0.7841530054644809,0.849825,2
8,9,1071.81,162.72,0.9336095317848592,68,40,39.7175,0.425,41.69,30.52,1600,1.3659574468085107,0.66988125,1
9,10,1517.55,201.38,0.9489837891428392,80,40,56.235,0.5,40.52,42.34,1600,0.9570552147239264,0.94846875,2
10,11,1600.27,196.59,0.9398712233779098,97,40,59.3,0.60625,45.84,52.08,1600,0.8802992518703242,1.00016875,2
11,12,1419.38,176.91,0.9532952717551372,80,40,52.596875,0.5,40.39,39.22,1600,1.0298013245033113,0.8871125000000001,2
12,13,969.59,151.05,0.9252695960083696,69,40,35.929375,0.43125,44.42,27.27,1600,1.6285714285714286,0.60599375,1
13,14,1401.63,179.4,0.9425849259910396,71,40,51.939375,0.44375,42.21,40.78,1600,1.035031847133758,0.8760187500000001,2
14,15,1647.96,199.36,0.933486194707175,106,40,61.0675,0.6625,56.75,43.51,1600,1.3044776119402983,1.029975,2
15,16,1360.85,189.98,0.9327637830776524,103,40,50.428125,0.64375,54.94,31.17,1600,1.7625,0.85053125,2
16,17,960.36,170.1,0.9375154359101012,81,40,35.5875,0.50625,43.64,26.49,1600,1.6470588235294117,0.600225,1
0,1,215.4,109.82,0.7928850810206742,60,50,5.1084,0.3,25.97,15.71,2500,1.6528925619834711,0.08616,1
1,2,642.87,246.73,0.6339986693280106,138,50,15.2464,0.69,35.06,35.58,2500,0.9854014598540146,0.257148,1
2,3,5.9,22.15,0.5139500734214391,10,50,0.14,0.05,8.44,2.86,2500,2.9545454545454546,0.00236,0
3,4,1283.03,422.8,0.8602689223879584,214,50,30.4284,1.07,47.01,47.53,2500,0.989071038251366,0.513212,1
4,5,43.46,59.14,0.456591070163005,36,50,1.0308,0.18,18.83,8.31,2500,2.265625,0.017384,0
5,6,202.34,70.22,0.8871552170376396,29,50,4.7988,0.145,22.6,12.47,2500,1.8125,0.080936,1
6,7,237.24,126.73,0.7469598003292444,55,50,5.6264,0.275,41.3,9.61,2500,4.297297297297297,0.094896,1
7,8,2234.72,224.97,0.946867049709859,115,50,52.9988,0.575,45.58,62.86,2500,0.7252066115702479,0.8938879999999999,2
8,9,2155.65,220.41,0.9460885914784,75,50,51.1236,0.375,50.26,50.0,2500,1.0051948051948052,0.86226,2
9,10,2063.63,219.58,0.9172645420536926,109,50,48.9412,0.545,51.56,50.13,2500,1.028497409326425,0.8254520000000001,2
10,11,1472.27,195.4,0.9348834220475308,90,50,34.9164,0.45,34.16,48.57,2500,0.7032085561497327,0.588908,1
11,12,1658.47,216.33,0.9350697515191282,125,50,39.3324,0.625,49.74,52.86,2500,0.941031941031941,0.663388,1
12,13,1933.9,222.76,0.9517252255617256,119,50,45.8644,0.595,49.74,47.66,2500,1.0435967302452316,0.77356,1
13,14,1490.96,184.6,0.9281124666652668,78,50,35.3596,0.39,46.88,38.31,2500,1.223728813559322,0.596384,1
14,15,71.26,48.97,0.801707779886148,18,50,1.69,0.09,18.57,6.49,2500,2.86,0.028504,0
15,16,2162.75,216.66,0.9541419567983452,92,50,51.292,0.46,47.79,52.47,2500,0.9108910891089108,0.8651,2
16,17,1923.12,206.72,0.9581358609794628,89,50,45.6088,0.445,48.57,53.38,2500,0.9099756690997568,0.7692479999999999,1
